body_pre,body_post,weight
14292,10013,32
15103,10013,19
19083,10013,1
20773,10013,18
21879,10013,19
22031,10013,23
22533,10013,18
23166,10013,17
24204,10013,21
24959,10013,38
25017,10013,18
26792,10013,31
27583,10013,23
28631,10013,21
29728,10013,23
31720,10013,25
32035,10013,14
34130,10013,25
34908,10013,22
36251,10013,25
36378,10013,15
36839,10013,21
37311,10013,17
37432,10013,28
38967,10013,28
39569,10013,38
39909,10013,18
40327,10013,24
40376,10013,24
40602,10013,29
40921,10013,18
41150,10013,18
41232,10013,36
41295,10013,31
41378,10013,30
41787,10013,27
41807,10013,29
41891,10013,16
42216,10013,19
42425,10013,29
42908,10013,17
43380,10013,25
43597,10013,16
43616,10013,22
43658,10013,17
43775,10013,20
43850,10013,15
43876,10013,21
43980,10013,24
44024,10013,24
44054,10013,27
44082,10013,19
44766,10013,26
44840,10013,24
44940,10013,31
45016,10013,26
45060,10013,16
45183,10013,23
45392,10013,22
45512,10013,24
45553,10013,30
45563,10013,26
45612,10013,23
45663,10013,26
45736,10013,21
45761,10013,25
45881,10013,37
46195,10013,26
46266,10013,27
46287,10013,34
46457,10013,21
46463,10013,21
46475,10013,35
46670,10013,32
46991,10013,17
47026,10013,28
47380,10013,25
47441,10013,19
47446,10013,16
47779,10013,22
47858,10013,34
47901,10013,27
47984,10013,31
47997,10013,21
48021,10013,32
48111,10013,37
48309,10013,29
48313,10013,25
48347,10013,28
48515,10013,20
48886,10013,16
48904,10013,25
48975,10013,24
49019,10013,27
49073,10013,20
49254,10013,22
49279,10013,26
49569,10013,34
49632,10013,21
49687,10013,29
49752,10013,30
49805,10013,31
49903,10013,20
49987,10013,30
50035,10013,11
50185,10013,19
50256,10013,18
50291,10013,30
50304,10013,19
50744,10013,24
50839,10013,30
51053,10013,1
51093,10013,33
51095,10013,22
51113,10013,21
51121,10013,13
51195,10013,24
51354,10013,19
51391,10013,23
51408,10013,27
51428,10013,20
51430,10013,26
51516,10013,28
51667,10013,32
51855,10013,24
51866,10013,27
51883,10013,41
52022,10013,30
52156,10013,24
52220,10013,27
52402,10013,21
52518,10013,20
52575,10013,30
52773,10013,34
53050,10013,24
53099,10013,19
53144,10013,30
53154,10013,24
53173,10013,23
53178,10013,30
53267,10013,18
53383,10013,22
53472,10013,18
53633,10013,19
53655,10013,20
53688,10013,27
53836,10013,21
53947,10013,26
53994,10013,30
54345,10013,21
54455,10013,19
54746,10013,30
54936,10013,23
55062,10013,22
55278,10013,19
55670,10013,34
55850,10013,22
55857,10013,30
55998,10013,20
56223,10013,36
56297,10013,23
56315,10013,21
56424,10013,15
56430,10013,22
56666,10013,19
57075,10013,23
57171,10013,20
57179,10013,25
57314,10013,24
57355,10013,21
57356,10013,23
