bodyId,type,instance,class,somaSide
10013,MBON01,MBON01(y5B'2a)_R,MBON,R
10079,MBON06,MBON06(B1>a)_R,MBON,R
10267,MBON14,MBON14(a3)_R,MBON,R
10495,MBON05,MBON05(y4>y1y2)_R,MBON,R
10599,MBON35,MBON35(y2)_L,MBON,L
10704,MBON11,MBON11(y1pedc>a/B)_L,MBON,L
10804,MBON20,MBON20(y1y2)_R,MBON,R
10816,MBON31,MBON31(a'1a)_L,MBON,L
10826,MBON21,MBON21(y4y5)_L,MBON,L
11145,MBON20,MBON20(y1y2)_L,MBON,L
11176,MBON26,MBON26(b'2d)_R,MBON,R
11402,MBON11,MBON11(y1pedc>a/B)_R,MBON,R
11455,MBON32,MBON32(y2)_L,MBON,L
11777,MBON15,MBON15(a'1)_R,MBON,R
11785,MBON33,MBON33(y2y3)_L,MBON,L
11805,MBON31,MBON31(a'1a)_R,MBON,R
11862,KCab-s,KCab-s_L,Kenyon_Cell,L
11873,MBON14,MBON14(a3)_L,MBON,L
11990,MBON22,MBON22(calyx)_R,MBON,R
12690,MBON06,MBON06(B1>a)_L,MBON,L
12726,MBON13,MBON13(a'2)_L,MBON,L
12859,MBON07,MBON07(a1)_R,MBON,R
12918,MBON22,MBON22(calyx)_L,MBON,L
13173,KCab-c,KCab-c_R,Kenyon_Cell,R
13728,MBON12,MBON12(y2a'1)_L,MBON,L
13768,MBON12,MBON12(y2a'1)_L,MBON,L
14221,MBON18,MBON18(a2sc)_R,MBON,R
14292,KCg-m,KCg-m_R,Kenyon_Cell,R
15103,KCg-m,KCg-m_R,Kenyon_Cell,R
15626,MBON07,MBON07(a1)_L,MBON,L
15708,MBON24,MBON24(B2y5)_R,MBON,R
17488,KCa'b'-ap2,KCa'b'-ap2_R,Kenyon_Cell,R
17946,MBON14,MBON14(a3)_R,MBON,R
18031,KCa'b'-ap2,KCa'b'-ap2_R,Kenyon_Cell,R
18406,MBON24,MBON24(B2y5)_L,MBON,L
18540,KCg-s1,KCg-s1_R,Kenyon_Cell,R
18603,MBON07,MBON07(a1)_L,MBON,L
18713,MBON09,MBON09(y3B'1)_L,MBON,L
19083,KCg-m,KCg-m_L,Kenyon_Cell,L
19102,KCg-d,KCg-d_R,Kenyon_Cell,R
19267,MBON09,MBON09(y3B'1)_L,MBON,L
19366,MBON14,MBON14(a3)_L,MBON,L
19788,KCg-d,KCg-d_L,Kenyon_Cell,L
20322,KCa'b'-ap2,KCa'b'-ap2_R,Kenyon_Cell,R
20773,KCg-m,KCg-m_R,Kenyon_Cell,R
20835,MBON23,MBON23(a2sp)_R,MBON,R
21242,MBON09,MBON09(y3B'1)_R,MBON,R
21778,KCg-s1,KCg-s1_L,Kenyon_Cell,L
21879,KCg-m,KCg-m_R,Kenyon_Cell,R
22031,KCg-m,KCg-m_R,Kenyon_Cell,R
22533,KCg-m,KCg-m_R,Kenyon_Cell,R
22995,KCa'b'-ap2,KCa'b'-ap2_R,Kenyon_Cell,R
23037,KCab-s,KCab-s_R,Kenyon_Cell,R
